"age","anxiety","anxiety_r","artgluctot","attachhome","attachphone","AvgHumidity","avgtemp","avoidance","avoidance_r","cigs","didf","eatdrink","eot","exercise","gluctot","health","hiTemp","kamf","langfamily","language","mintemp","monogamous","networksize","nostalgia","onlineid","riskAvd","romantic","scontrol","sex","Site","smoke","socialdiversity","socialembedded","socTherm","soliTherm","stress"
1989,2,-0.618691336623282,0,3.77777777777778,2.88888888888889,67,37.15,4.05555555555556,0.775857823933247,7,3.72727272727273,1,2.4,2,1,3,2.57142857142857,5,1,1,5,7,28,41,3.09090909090909,2.66666666666667,1,50,2,"Bamberg",1,9,4,3,3.25,44
1991,2.33333333333333,-0.38633631899427,0,4.22222222222222,2.77777777777778,70,35.85,1.77777777777778,-1.1192161800569,NA,1.09090909090909,1,2.8,2,4,3,1.42857142857143,2.57142857142857,1,1,-3,7,17,13,2.72727272727273,2,1,50,2,"Bamberg",2,7,2,2.4,2.5,40
1992,1.55555555555556,-0.928498026795298,0,3,2.55555555555556,95,36.315,4.16666666666667,0.86830045827423,NA,4.27272727272727,1,2.6,2,2,3,4.14285714285714,7.28571428571429,1,1,-1,6,23,27,1.54545454545455,4,1,39,1,"Bamberg",2,7,3,2,3.125,34
1992,2.11111111111111,-0.541239664080278,0,4.66666666666667,2.33333333333333,54,36.345,2.05555555555556,-0.888109594204441,NA,2.27272727272727,1,2,2,0,4,3,4,1,1,3,7,21,28,2.27272727272727,3,1,28,2,"Bamberg",2,7,2,3.8,2.5,49
1992,3.83333333333333,0.659261260336284,0,4.77777777777778,2.22222222222222,62,36.4,1.5,-1.35032276590935,NA,1.54545454545455,1,2,2,1,4,3,3.14285714285714,1,1,-1,7,31,27,2.09090909090909,2.33333333333333,1,50,2,"Bamberg",2,8,4,3.8,4.375,40
1992,2.72222222222222,-0.115255465093756,0,3.77777777777778,1.44444444444444,54,36.59,1.61111111111111,-1.25788013156837,NA,1,1,1,2,0,2,2.57142857142857,5,1,1,3,6,32,30,2,2.33333333333333,1,44,1,"Bamberg",2,8,5,4.6,3.25,45
1992,2.33333333333333,-0.38633631899427,0,2.77777777777778,1,87,36.7,2.94444444444444,-0.148568519476579,NA,1.90909090909091,1,2,2,0,2,3,6,1,1,1,7,7,8,1,1.66666666666667,1,45,2,"Bamberg",2,5,1,2.8,2.125,28
1993,4.27777777777778,0.9690679505083,0,3.44444444444444,3.33333333333333,78,36.2,5.27777777777778,1.79272680168406,NA,1.45454545454545,1,1.4,2,0,3,3.71428571428571,2.28571428571429,1,1,6,7,23,23,3.27272727272727,2.66666666666667,2,43,2,"Bamberg",2,6,4,1.4,2.75,37
1993,2,-0.618691336623282,0,4.44444444444444,3.11111111111111,67,36.7,2.44444444444444,-0.564560374011001,NA,1.90909090909091,1,2.2,2,2,4,2.14285714285714,3.85714285714286,1,1,5,7,25,22,3,3,1,35,2,"Bamberg",2,8,4,2.8,3,30
1994,5.27777777777778,1.66613300339534,0,4.44444444444444,4.44444444444444,88,36.7,3.11111111111111,-0.00990456796510525,NA,1.36363636363636,1,2.4,2,21,2,2.71428571428571,3.57142857142857,1,1,10,7,9,31,4,3.66666666666667,2,24,2,"Bamberg",2,4,2,3.8,4.25,59
1994,2.16666666666667,-0.502513827808776,0,4.11111111111111,1,62,37,3.16666666666667,0.0363167492053859,NA,3.90909090909091,1,2.8,2,1,3,3.71428571428571,3,1,1,5,6,36,25,1.18181818181818,2,1,38,2,"Bamberg",2,8,4,3.2,2.375,38
1995,3.22222222222222,0.233277061349762,0,3.88888888888889,2.22222222222222,79,36.6,4.61111111111111,1.23807099563816,NA,1.72727272727273,1,2.4,2,0,4,1.71428571428571,5.28571428571429,1,1,4,7,25,29,2.36363636363636,3,1,46,2,"Bamberg",2,6,4,1.8,3.75,38
1996,3.38888888888889,0.349454570164268,0,4,3.11111111111111,90,36.1,2.61111111111111,-0.425896422499527,NA,2,1,2.6,2,0,2,2.57142857142857,2.57142857142857,1,1,-1,6,13,20,2.54545454545455,2.66666666666667,2,38,2,"Bamberg",2,5,2,4,2.25,46
1996,2.22222222222222,-0.463787991537274,0,4.33333333333333,3,72,36.6,3.77777777777778,0.544751238080791,NA,1.45454545454545,1,2.8,2,1,4,2,3.71428571428571,1,1,6,6,25,30,1.90909090909091,3,1,46,2,"Bamberg",2,6,3,1.4,1.875,34
1997,3.11111111111111,0.155825388806758,0,3,3,51,36.15,2.5,-0.51833905684051,NA,3.18181818181818,1,2.6,2,1,4,2.85714285714286,3,1,1,-7,7,23,27,2.09090909090909,2.66666666666667,2,34,2,"Bamberg",2,6,4,2.8,3.25,36
1997,6.16666666666667,2.28574638373937,0,4,4.44444444444444,68,36.15,3.61111111111111,0.406087286569317,NA,2.09090909090909,1,2,2,4,4,3.14285714285714,2.85714285714286,1,1,1,7,29,21,3.81818181818182,3,2,25,2,"Bamberg",2,6,5,3,3.25,56
1997,3.72222222222222,0.58180958779328,0,4.77777777777778,2.66666666666667,65,36.25,1.5,-1.35032276590935,NA,1.27272727272727,1,2,2,1,4,2.57142857142857,3,1,1,2,7,26,16,2.27272727272727,3,2,42,2,"Bamberg",2,5,5,3.4,3,44
1997,3.11111111111111,0.155825388806758,0,4.11111111111111,3.44444444444444,90,36.55,2.22222222222222,-0.749445642692966,NA,1.81818181818182,1,1.4,2,0,4,3.57142857142857,3.85714285714286,1,1,2,7,20,10,3.36363636363636,3,2,35,2,"Bamberg",2,5,3,2.8,2.75,35
1997,5.27777777777778,1.66613300339534,0,4.77777777777778,3.33333333333333,63,36.95,1.94444444444444,-0.980552228545423,NA,1.72727272727273,1,2.4,2,14,2,3,3.57142857142857,1,1,4,5,22,23,3,2,2,30,2,"Bamberg",2,6,3,3.6,3.375,57
NA,5.27777777777778,1.66613300339534,NA,3.11111111111111,3,NA,36.3,4,0.729636506762756,NA,2.81818181818182,NA,2,NA,NA,3,3.71428571428571,6,1,1,NA,NA,0,37,2.90909090909091,2.66666666666667,NA,42,NA,"Bamberg",NA,0,1,2.6,2.875,52
NA,0,-2.01282144239735,0,5,3,NA,36.3,6.05555555555556,2.43982524207093,NA,1,NA,2.8,NA,12,NA,3.71428571428571,2,1,1,NA,NA,20,6,2.90909090909091,3.33333333333333,NA,42,NA,"Bamberg",NA,7,2,3.4,3,39
NA,0,-2.01282144239735,0,4.33333333333333,3.33333333333333,71,36.8,3,-0.102347202306088,NA,1.90909090909091,NA,2.6,NA,1.5,4,3.71428571428571,4.28571428571429,1,1,2,NA,13,23,2.90909090909091,2,NA,43,NA,"Bamberg",NA,4,3,3.8,2.625,35
1948,2.83333333333333,0.0662910574199631,0,3.44444444444444,2.11111111111111,79,36.08333333,4.72222222222222,1.56992448160957,1,2.36363636363636,1,2.2,2,0,4,3.57142857142857,2.57142857142857,1,2,1,6,18,10,2.45454545454545,2.33333333333333,1,44,2,"Chile",2,5,3,3.2,3.75,31
1953,2.83333333333333,0.0662910574199631,0,4.11111111111111,2.77777777777778,73,35.85,3.05555555555556,0.0350821113208842,NA,2.09090909090909,1,2.4,2,1,2,2.42857142857143,5,1,2,11,7,25,28,3.45454545454545,2.33333333333333,1,41,2,"Chile",1,7,4,2.8,3.5,40
1957,1.94444444444444,-0.839147775633188,3,3.55555555555556,1.55555555555556,55,36.1,2.16666666666667,-0.783500486166417,NA,2.09090909090909,1,2.8,2,10,2,2.85714285714286,3.42857142857143,1,2,12,7,39,15,1,1.66666666666667,1,56,1,"Chile",1,10,4,2.8,3.375,33
1958,3.61111111111111,0.85855003634147,0,3.33333333333333,2,80,35.5,3.72222222222222,0.64901905943636,NA,3.45454545454545,1,3.2,2,8,3,3.14285714285714,2.28571428571429,1,2,12,1,16,24,2,3.33333333333333,2,43,1,"Chile",1,5,2,2.6,3.125,34
1958,1.33333333333333,-1.46163697335723,13,3.77777777777778,2.77777777777778,69,36.6,2.61111111111111,-0.374209187422766,NA,2.81818181818182,2,1,2,0,3,3.85714285714286,5.57142857142857,1,2,12,7,40,25,3,3.66666666666667,1,61,2,"Chile",1,9,4,3.4,4.25,32
1965,2.16666666666667,-0.612788067369901,5,1.77777777777778,2.22222222222222,80,36.55,3.83333333333333,0.751341884122273,0,1.36363636363636,1,3.4,2,0,3,3.57142857142857,1.71428571428571,1,2,7,7,41,6,2.36363636363636,3,1,44,1,"Chile",2,7,4,2.2,2.375,30
1969,2.22222222222222,-0.556198140304079,0,2.22222222222222,3.22222222222222,80,36.35,4,0.904826121151142,NA,3,1,3,2,0,4,3.71428571428571,1.14285714285714,1,2,7,7,33,18,3.09090909090909,3,1,45,2,"Chile",1,8,4,3,2.625,44
1973,2.33333333333333,-0.443018286172435,0,4.55555555555556,3.22222222222222,68,36.65,3.44444444444444,0.393211997721579,NA,1.63636363636364,1,2.2,2,0,4,2.28571428571429,4.42857142857143,1,2,13,7,28,14,3.54545454545455,2.66666666666667,2,48,2,"Chile",1,7,3,2.4,2.75,26
